tag_id,author_name,author_img,article,stats_vote,stats_comments
qiushi_tag_124918308,怂包妇女主任,//pic.qiushibaike.com/system/avtnew/4301/43013174/thumb/20210908181733.jpg?imageView2/1/w/90/h/90,"


办公室在车间现场，为了怕别人把我笔写着写着就顺走，我都是买的普通的笔，被顺的两盒都没有了。好同事就建议，你买的都是普通的笔，别人顺你你也看不出来，因为大家的笔都是一样的。于是我花了十倍的价钱买了一些特殊造型和颜色的笔，因为买的笔漂亮和有个行，现在大家排着队明着来掠夺。

",1231,67
qiushi_tag_124749369,无书斋主,//pic.qiushibaike.com/system/avtnew/1753/17535149/thumb/20210411212524.jpg?imageView2/1/w/90/h/90,"


偶然认识了同县城一小伙，他非要请吃饭，并强调还有个他同学，也在附近，一定要认识，他在政·府上班！两小伙酒量好不好我不知道，酒胆那是杆杆的！……我带的两瓶白酒是一杯一杯的喝，喝到最后，他俩胸脯一个比一个胸脯拍的响:哥，饭吃完我请你去松松骨……哥，你不是说有湿气吗？我带你去蒸下，那里妹子不错……你倒是说老家话啊，二货！说普通话我老婆坐边上，我还去个球？！

",1245,30
qiushi_tag_124850594,天热打鼓球,//pic.qiushibaike.com/system/avtnew/3788/37883273/thumb/20211028193151.jpg?imageView2/1/w/90/h/90,"


小学时，老师要求交两块钱买什么学习资料，我和同村的小明统一口径，找家里要五块。后来老爸果然跑小明家去问。回到家揍我一顿说，还好人家小明诚实，老师明明说的是四块。同样是赚两块，我挨揍，他受表扬。看着手里的四块钱，我陷入了有史以来最激烈的思想斗争，然后拖着被打肿的屁股蹒跚的去了小明家……现在才明白，这原来就叫内卷！

",1412,25
qiushi_tag_124891584,胖香,//pic.qiushibaike.com/system/avtnew/1299/12992639/thumb/20201115205001.jpg?imageView2/1/w/90/h/90,"


昨晚正准备睡觉，闺蜜发来视频，我接了以后发现她正在满脸痛苦的蹲马桶，连忙问她啥情况，她一边哼哼一边跟我说:“窜两次了，我现在为了你正在努力思考今天到底吃了啥，正在细细回忆。”啊？为了我？她一脸白痴的望着我:“我得想起来吃了啥才窜的啊！让你也吃，撺多了能减肥！”

",1052,29
qiushi_tag_124860357,上凹下凸,//pic.qiushibaike.com/system/avtnew/3078/30789405/thumb/20211105014818.jpg?imageView2/1/w/90/h/90,"


朋友在新东方学厨……老师不厌其烦的教他们一些基本功，一段时间过后，朋友心浮气躁的问：老师，这些花样繁杂的雕工，摆盘，装饰会让我的菜味道更好吗？老师冷冷的说：不!但会让你的菜卖的更贵!

",912,27
qiushi_tag_124748528,浪漫的小乞丐,//pic.qiushibaike.com/system/avtnew/4293/42939073/thumb/20211022140145.jpg?imageView2/1/w/90/h/90,"


最近生活比较拮据，看到工地上很多饮料瓶子没人捡，想着下班的时候都一个个捡起来，好赚一点零花钱。万一运气好的话还能碰到个再来一瓶啥的，不到一个小时捡了满满一袋子。到门卫室时保安队长说:工地内的一切废品归门卫所有，禁止携带出门。。。。。。

",1225,34
qiushi_tag_124918819,奶爸笔记本,//pic.qiushibaike.com/system/avtnew/1657/16572175/thumb/20210215003030.jpg?imageView2/1/w/90/h/90,"


大头梨不大。。。前几天我们这下大雪么，我媳妇要吃山楂，我妈命令我去买，买完回来脚下一滑我就掉沟里了，整的一身泥啊，回家我爸问我咋了，我说掉沟里了，我妈过来看看:山楂呢？没丢吧？

",627,12
qiushi_tag_124777207,小鸟小鸟小鸟,//pic.qiushibaike.com/system/avtnew/2722/27224008/thumb/default_avatar.jpg?imageView2/1/w/90/h/90,"


我们两口子都是42周岁。这几天心血来潮，经常打趣老婆，说些“甜言蜜语”，比如“哟！这是谁家媳妇这么漂亮!”“美女晚上有约没？”“姑娘有对象了吗？”……不过很快我就后悔了：这几天老婆异常热情……[大哭][大哭][大哭][大哭][大哭][大哭]

",908,22
qiushi_tag_124918552,自己的蛋自己疼,//pic.qiushibaike.com/system/avtnew/2889/28892306/thumb/20151030132547.jpg?imageView2/1/w/90/h/90,"


昨天晚上收到支付宝的一条消息提醒，我这一周只进账510块钱，比上周明显减少。玛德，这还用你提醒吗，我自己多穷我不知道吗[大哭][大哭]

",830,44
qiushi_tag_124756014,红栀6,//pic.qiushibaike.com/system/avtnew/4449/44495055/thumb/20200804005935.jpg?imageView2/1/w/90/h/90,"


今天坐公交车去上班，来了一个小女孩对我说：“叔叔，你能给我让个座吗？”看到萌萌的小女孩，我给她让了座，并期待她的回应。没想到她来了句：“叔叔，虽然你长得不咋的但还是挺懂事的。”

",849,9
qiushi_tag_124862336,奶爸笔记本,//pic.qiushibaike.com/system/avtnew/1657/16572175/thumb/20210215003030.jpg?imageView2/1/w/90/h/90,"


回家看到老妈在晾衣服，我手脚麻利的把菜摘洗干净还切好了肉、葱姜蒜。就只是帮老妈做了这么一点点家务，她还是忍不住的非得夸我一顿:“菜很便宜吗？让你这么个摘法？瞧你就是个不会过日子的主！”

",610,15
qiushi_tag_124768129,植物大战讲师,//pic.qiushibaike.com/system/avtnew/2836/28366686/thumb/20181013063322.jpg?imageView2/1/w/90/h/90,"


曾经，我还是个无忧无虑、身体健康、从来没有去过医院的少年，身处在随时随处散发着青春荷尔蒙气息的大学校园中。由于一直活在象牙塔的世界里，我就作了起来，从来没有想过我会经历一段痛苦又难以启齿的噩梦。•我把魔爪伸向了我的肛毛作为一个身体毛发特别浓密的哺乳科雄性生物，除了拥有一头茂密的头发外，还有性感的胸毛、不羁的腿毛，以及杂乱而麻烦的肛毛。有的时候上完大号清理的时候，总觉得屁股沟没擦干净，肛毛上还沾着一坨，额，你懂得。某天屎后，在我不断怀疑到底有没有擦干净时，我的耐心到达了极限，于
…
查看全文",622,20
qiushi_tag_124868653,空城旧梦她与伞,//pic.qiushibaike.com/system/avtnew/648/6480555/thumb/20210830091544.jpg?imageView2/1/w/90/h/90,"


周末，媳妇打扫卫生，翻出一个旧证件 ：老公老公，你竟然有这种证件啊？厉害啦。我接过来看了看：结婚前办的，反面写着有效期十年，我俩结婚都十年了，这证件过期了。媳妇听后，立马翻箱倒柜。我纳闷道：你这是干啥？找什么东西？媳妇头也不回道：找咱俩的结婚证！

",1531,72
qiushi_tag_124763065,冷瞳～～,//pic.qiushibaike.com/system/avtnew/3377/33773167/thumb/20211114090029.jpg?imageView2/1/w/90/h/90,"


无聊刷动态，刷到个走路踢到砖头的，我一想还是我这样内向型的好，因为内向的走路一般都是低着头的，不可能踢到砖头啥的，而且有可能还会捡到点钢镚啥的[doge]

",629,26
qiushi_tag_124781035,上凹下凸,//pic.qiushibaike.com/system/avtnew/3078/30789405/thumb/20211105014818.jpg?imageView2/1/w/90/h/90,"


表哥姓尚，最近喜得贵子，表嫂替他生了一个堂弟。表哥问我孩子取什么名比较好？我问他对孩子有什么期待？表哥想了想说：我希望他策马奔腾，所向披靡！我想了想说：策……策，所……所，那就取名叫“尚策所”可好？

",1265,143
